tsla | BTC | 2022-07-22 10:04:05.133785
tsla | BTO | 2022-07-22 10:04:10.240293
aapl | BTC | 2022-07-22 10:09:35.308924
aapl | BTO | 2022-07-22 10:09:40.513676
amzn | BTC | 2022-07-22 10:12:11.443295
amzn | BTO | 2022-07-22 10:12:16.652333
amzn | STC | 2022-07-22 10:15:10.932176
amzn | STO | 2022-07-22 10:15:16.054859
tsla | STC | 2022-07-22 10:33:34.223388
tsla | STO | 2022-07-22 10:33:39.393670
aapl | STC | 2022-07-22 11:02:45.675089
aapl | STO | 2022-07-22 11:02:50.830999
tsla | BTC | 2022-07-22 11:03:13.953675
tsla | BTO | 2022-07-22 11:03:19.049206
tsla | STC | 2022-07-22 11:09:15.393257
tsla | STO | 2022-07-22 11:09:20.499781
tqqq | BTC | 2022-07-22 11:09:44.075196
tqqq | BTO | 2022-07-22 11:09:49.173070
tsla | BTC | 2022-07-22 11:18:22.150417
tsla | BTO | 2022-07-22 11:18:27.270417
tqqq | STC | 2022-07-22 11:24:51.656342
tqqq | STO | 2022-07-22 11:24:56.781171
aapl | BTC | 2022-07-22 11:27:10.560744
aapl | BTO | 2022-07-22 11:27:15.695093
tqqq | BTC | 2022-07-22 11:28:04.042936
tqqq | BTO | 2022-07-22 11:28:09.146745
tsla | STC | 2022-07-22 11:36:52.976937
tsla | STO | 2022-07-22 11:36:58.107856
aapl | STC | 2022-07-22 11:42:41.532708
aapl | STO | 2022-07-22 11:42:46.697980
tsla | BTC | 2022-07-22 12:28:55.419023
tsla | BTO | 2022-07-22 12:29:00.519562
aapl | BTC | 2022-07-22 12:34:44.308806
aapl | BTO | 2022-07-22 12:34:49.490187
aapl | STC | 2022-07-22 12:40:59.057784
aapl | STO | 2022-07-22 12:41:04.224264
tsla | STC | 2022-07-22 12:44:33.282447
tsla | STO | 2022-07-22 12:44:38.420044
aapl | BTC | 2022-07-22 12:47:18.967051
aapl | BTO | 2022-07-22 12:47:24.086174
aapl | STC | 2022-07-22 13:02:53.348873
aapl | STO | 2022-07-22 13:02:58.503252
aapl | BTC | 2022-07-22 13:06:05.326554
aapl | BTO | 2022-07-22 13:06:10.433653
tsla | BTC | 2022-07-22 13:15:56.162948
tsla | BTO | 2022-07-22 13:16:01.280327
tsla | STC | 2022-07-22 13:31:40.891364
tsla | STO | 2022-07-22 13:31:46.022588
tqqq | STC | 2022-07-22 14:19:47.488487
tqqq | STO | 2022-07-22 14:19:52.602884
tsla | BTC | 2022-07-22 14:22:50.371136
tsla | BTO | 2022-07-22 14:22:55.469246
tsla | STC | 2022-07-22 14:26:17.883585
tsla | STO | 2022-07-22 14:26:23.003017
amzn | BTC | 2022-07-22 14:35:53.377494
amzn | BTO | 2022-07-22 14:35:58.461413
tsla | BTC | 2022-07-22 14:44:11.687936
tsla | BTO | 2022-07-22 14:44:16.975407
tqqq | BTC | 2022-07-22 14:52:20.295117
tqqq | BTO | 2022-07-22 14:52:25.381408
tsla | STC | 2022-07-22 14:55:39.429574
tsla | STO | 2022-07-22 14:55:44.584226
tsla | BTC | 2022-07-22 15:03:10.070253
tsla | BTO | 2022-07-22 15:03:15.170014
tqqq | STC | 2022-07-22 15:07:32.728880
tqqq | STO | 2022-07-22 15:07:37.839090
aapl | STC | 2022-07-22 15:32:05.833638
aapl | STO | 2022-07-22 15:32:11.105239
tsla | STC | 2022-07-22 15:32:46.288649
tsla | STO | 2022-07-22 15:32:51.416721
sqqq | BTC | 2022-07-22 15:44:18.650113
sqqq | BTO | 2022-07-22 15:44:23.738227
tsla | BTC | 2022-07-22 15:50:18.364820
tsla | BTO | 2022-07-22 15:50:23.468873
tqqq | BTC | 2022-07-22 15:50:54.740922
tqqq | BTO | 2022-07-22 15:50:59.830348
tsla | STC | 2022-07-22 15:58:12.364742
tsla | STO | 2022-07-22 15:58:17.490262
tsla | BTC | 2022-07-25 09:33:05.779602
tsla | BTO | 2022-07-25 09:33:10.869274
tsla | STC | 2022-07-25 09:59:03.961236
tsla | STO | 2022-07-25 09:59:09.329111
tsla | BTC | 2022-07-25 10:11:58.443512
tsla | BTO | 2022-07-25 10:12:03.537563
amzn | STC | 2022-07-25 10:20:48.781944
amzn | STO | 2022-07-25 10:20:53.878536
tsla | STC | 2022-07-25 10:21:50.341039
tsla | STO | 2022-07-25 10:21:55.444661
tsla | BTC | 2022-07-25 10:34:50.177426
tsla | BTO | 2022-07-25 10:34:55.277620
tsla | STC | 2022-07-25 10:38:14.919477
tsla | STO | 2022-07-25 10:38:20.010672
amzn | BTC | 2022-07-25 10:56:56.577357
amzn | BTO | 2022-07-25 10:57:01.657068
sqqq | STC | 2022-07-25 10:58:50.102271
sqqq | STO | 2022-07-25 10:58:55.192398
tsla | BTC | 2022-07-25 11:25:19.672626
